station_id,name,lat,lng,borough,capacity
3853.02,Eastern Pkwy & Rochester Ave,40.66846,-73.9282,Brooklyn,24
3856.03,Flatbush Ave & Eastern Pkwy,40.668757,-73.966438,Brooklyn,24
3862.07,Eastern Pkwy & Troy Ave,40.66929,-73.93679,Brooklyn,25
3865.05,3 St & Prospect Park West,40.668132,-73.97363831,Brooklyn,38
3871.02,Eastern Pkwy & Brooklyn Ave,40.66939,-73.94514,Brooklyn,27
3874.01,5 St & 6 Ave,40.6704836,-73.98208968,Brooklyn,29
3877.04,Pitkin Ave & Grafton St,40.66852,-73.91908,Brooklyn,21
3879.04,Union St & Bedford Ave,40.6691783,-73.9554162,Brooklyn,31
3882.01,12 St & 4 Ave,40.668603,-73.9904394,Brooklyn,29
3882.05,10 St & 4 Ave,40.66967356370341,-73.98898908183764,Brooklyn,15
3885.06,Buffalo Ave & St John's Pl,40.67015,-73.92538,Brooklyn,20
3887.03,Carroll St & Washington Ave,40.6686744,-73.9618148,Brooklyn,26
3893.03,Eastern Pkwy & Schenectady Ave,40.66876,-73.93376,Brooklyn,26
3902.06,Eastern Pkwy & Kingston Ave,40.66959,-73.94237,Brooklyn,34
3905.15,3 St & 7 Ave,40.6703837,-73.97839676,Brooklyn,38
3911.05,Eastern Pkwy & Nostrand Ave,40.66967,-73.9503,Brooklyn,27
3914.02,7 St & 5 Ave,40.6704922,-73.98541675,Brooklyn,31
3917.03,St Johns Pl & Howard Ave,40.66992,-73.92002,Brooklyn,20
3919.07,Eastern Pkwy & Franklin Ave (NE Corner),40.6707767,-73.9576801,Brooklyn,38
3919.12,Eastern Pkwy & Franklin Ave (SW Corner),40.670529,-73.958222,Brooklyn,30
3922.02,10 St & 2 Ave,40.671907,-73.993612,Brooklyn,27
3925.03,Sterling Pl & Rochester Ave,40.67128,-73.92825,Brooklyn,21
3928.08,Eastern Pkwy & Washington Ave,40.6716493,-73.9631145,Brooklyn,33
3931.09,Bay St & Court St,40.671409,-74.001328,Brooklyn,15
3934.06,Sterling Pl & Schenectady Ave,40.6716,-73.93378,Brooklyn,22
3934.07,Troy Ave & Park Pl,40.67251,-73.93642,Brooklyn,24
3940.04,Sigourney St & Columbia St,40.67267243410948,-74.0087952464819,Brooklyn,24
3943.03,St Johns Pl & Kingston Ave,40.67113,-73.94222,Brooklyn,28
3946.07,1 St & 6 Ave,40.672784,-73.979826,Brooklyn,32
3950.03,Park Pl & Thomas S. Boyland St,40.67154,-73.91433,Brooklyn,23
3952.07,Lincoln Pl & Nostrand Ave,40.67077,-73.9507,Brooklyn,30
3955.05,4 Ave & 9 St,40.6705135,-73.98876585,Brooklyn,33
3958.02,Sterling Pl & Ralph Ave,40.67095,-73.92222,Brooklyn,20
3960.01,Lincoln Pl & Classon Ave,40.6721683,-73.9609,Brooklyn,30
3966.01,St Johns Pl & Utica Ave,40.6705,-73.9308,Brooklyn,24
3966.03,Park Pl & Utica Ave,40.67242,-73.93094,Brooklyn,22
3972.08,Henry St & Bay St,40.6725058,-74.00494695,Brooklyn,24
3975.02,Albany Ave & Park Pl,40.67297,-73.93896,Brooklyn,25
3978.13,Garfield Pl & 8 Ave,40.6711978,-73.97484126,Brooklyn,35
3981.1,Dwight St & Van Dyke St,40.67363551341504,-74.01195555925369,Brooklyn,24
3982.01,Eastern Pkwy & St Marks Ave,40.67319,-73.91083,Brooklyn,21
3984.02,Sterling Pl & New York Ave,40.67234,-73.94763,Brooklyn,30
3987.06,5 Ave & 3 St,40.6728155,-73.98352355,Brooklyn,36
3991.04,Prospect Pl & Howard Ave,40.67261,-73.91977,Brooklyn,21
3993.03,Sterling Pl & Bedford Ave,40.672695,-73.954131,Brooklyn,33
3996.01,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Brooklyn,29
3999.06,Park Pl & Buffalo Ave,40.67202,-73.92539,Brooklyn,22
4001.09,St Johns Pl & Washington Ave,40.6737236,-73.9631611,Brooklyn,33
4007.01,Schenectady Ave & Prospect Pl,40.67351,-73.93363,Brooklyn,25
4010.01,Plaza St East & Flatbush Ave,40.673134,-73.969106,Brooklyn,41
4010.13,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,Brooklyn,38
4010.15,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,Brooklyn,37
4013.08,Columbia St & Lorraine St,40.6747055,-74.0075572,Brooklyn,24
4014.01,Pacific St & Sackman St,40.67522,-73.9061,Brooklyn,20
4016.03,Kingston Ave & Park Pl,40.67308,-73.94191,Brooklyn,28
4019.06,Carroll St & 6 Ave,40.6740886,-73.9787282,Brooklyn,33
4023.01,St Marks Ave & Thomas S. Boyland St,40.67313,-73.91387,Brooklyn,18
4023.05,Pacific St & Thomas S. Boyland St,40.67568,-73.91396,Brooklyn,20
4025.02,Prospect Pl & Nostrand Ave,40.67428,-73.9503,Brooklyn,32
4028.03,3 St & 3 Ave,40.6750705,-73.98775226,Brooklyn,30
4028.04,4 Ave & 3 St,40.673746,-73.985649,Brooklyn,32
4031.05,St Marks Ave & Ralph Ave,40.67372,-73.92199,Brooklyn,20
